Wall time,Step,Value
1762898050.33558,22144,0.0
1762898051.33558,22145,0.0
1762898052.33558,22146,0.0
1762898053.33558,22147,0.0
1762898054.33558,22148,0.0
1762898055.33558,22149,0.0
1762898056.33558,22150,0.0
1762898057.33558,22151,0.0
1762898058.33558,22152,0.0
1762898059.33558,22153,0.0
1762898060.33558,22154,0.0
1762898061.33558,22155,0.0
1762898062.33558,22156,0.0
1762898063.33558,22157,0.0
1762898064.33558,22158,0.0
1762898065.33558,22159,0.0
1762898066.33558,22160,0.0
1762898067.33558,22161,0.0
1762898068.33558,22162,0.0
1762898069.33558,22163,0.0
1762898070.33558,22164,0.0
1762898071.33558,22165,0.0
1762898072.33558,22166,0.0
1762898073.33558,22167,0.0
1762898074.33558,22168,0.0
1762898075.33558,22169,0.0
1762898076.33558,22170,0.0
1762898077.33558,22171,0.0
1762898078.33558,22172,0.0
1762898079.33558,22173,0.0
1762898080.33558,22174,0.0
1762898081.33558,22175,0.0
1762898082.33558,22176,0.0
1762898083.33558,22177,0.0
1762898084.33558,22178,0.0
1762898085.33558,22179,0.0
1762898086.33558,22180,0.0
1762898087.33558,22181,0.0
1762898088.33558,22182,0.0
1762898089.33558,22183,0.0
1762898090.33558,22184,0.0
1762898091.33558,22185,0.0
1762898092.33558,22186,0.0
1762898093.33558,22187,0.0
1762898094.33558,22188,0.0
1762898095.33558,22189,0.0
1762898096.33558,22190,0.0
1762898097.33558,22191,0.0
1762898098.33558,22192,0.0
1762898099.33558,22193,0.0
1762898100.33558,22194,0.0
1762898101.33558,22195,0.0
1762898102.33558,22196,0.0
1762898103.33558,22197,0.0
1762898104.33558,22198,0.0
1762898105.33558,22199,0.0
1762898106.33558,22200,0.0
1762898107.33558,22201,0.0
1762898108.33558,22202,0.0
1762898109.33558,22203,0.0
1762898110.33558,22204,0.0
1762898111.33558,22205,0.0
1762898112.33558,22206,0.0
1762898113.33558,22207,0.0
1762898114.33558,22208,0.0
1762898115.33558,22209,0.0
1762898116.33558,22210,0.0
1762898117.33558,22211,0.0
1762898118.33558,22212,0.0
1762898119.33558,22213,0.0
1762898120.33558,22214,0.0
1762898121.33558,22215,0.0
1762898122.33558,22216,0.0
1762898123.33558,22217,0.0
1762898124.33558,22218,0.0
1762898125.33558,22219,0.0
1762898126.33558,22220,0.0
1762898127.33558,22221,0.0
1762898128.33558,22222,0.0
1762898129.33558,22223,0.0
1762898130.33558,22224,0.0
1762898131.33558,22225,0.0
1762898132.33558,22226,0.0
1762898133.33558,22227,0.0
1762898134.33558,22228,0.0
1762898135.33558,22229,0.0
1762898136.33558,22230,0.0
1762898137.33558,22231,0.0
1762898138.33558,22232,0.0
1762898139.33558,22233,0.0
1762898140.33558,22234,0.0
1762898141.33558,22235,0.0
1762898142.33558,22236,0.0
1762898143.33558,22237,0.0
1762898144.33558,22238,0.0
1762898145.33558,22239,0.0
1762898146.33558,22240,0.0
